Year,Total Number of Hospitals,01 - NORTHERN CALIFORNIA,02 - GOLDEN EMPIRE,03 - NORTH BAY,04 - WEST BAY,05 - EAST BAY,06 - NORTH SAN JOAQUIN,07 - SANTA CLARA,08 - MID-COAST,08 - MIDCOAST,09 - CENTRAL,10 - SANTA BARBARA / VENTURA,11 - LOS ANGELES COUNTY,12 - INLAND COUNTIES,13 - ORANGE COUNTY,14 - SAN DIEGO / IMPERIAL,Rural,Teaching,DSH,Non-DSH,Number of Rural and DSH Hospitals,01 - NORTHERN CALIFORNIA (%),02 - GOLDEN EMPIRE (%),03 - NORTH BAY (%),04 - WEST BAY (%),05 - EAST BAY (%),06 - NORTH SAN JOAQUIN (%),07 - SANTA CLARA (%),08 - MID-COAST (%),08 - MIDCOAST (%),09 - CENTRAL (%),10 - SANTA BARBARA / VENTURA (%),11 - LOS ANGELES COUNTY (%),12 - INLAND COUNTIES (%),13 - ORANGE COUNTY (%),14 - SAN DIEGO / IMPERIAL (%),Rural (%),Teaching (%),DSH (%),Non-DSH (%),Number of Rural and DSH Hospitals (%)
2011,354,29.0,19.0,13.0,19.0,20.0,17.0,11.0,12.0,0.0,25.0,12.0,91.0,39.0,28.0,19.0,61,24,123,231,26,8.192090395480225,5.367231638418079,3.672316384180791,5.367231638418079,5.649717514124294,4.80225988700565,3.1073446327683616,3.389830508474576,0.0,7.062146892655368,3.389830508474576,25.70621468926554,11.016949152542372,7.909604519774012,5.367231638418079,17.231638418079097,6.779661016949152,34.74576271186441,65.2542372881356,7.344632768361582
2012,344,29.0,19.0,13.0,19.0,20.0,16.0,10.0,12.0,0.0,24.0,12.0,88.0,38.0,25.0,19.0,61,31,118,226,25,8.430232558139535,5.523255813953488,3.77906976744186,5.523255813953488,5.813953488372093,4.651162790697675,2.9069767441860463,3.488372093023256,0.0,6.976744186046512,3.488372093023256,25.581395348837212,11.046511627906977,7.267441860465117,5.523255813953488,17.732558139534884,9.011627906976743,34.30232558139535,65.69767441860465,7.267441860465117
2013,356,29.0,20.0,13.0,19.0,21.0,17.0,11.0,12.0,0.0,25.0,12.0,90.0,40.0,27.0,20.0,61,34,122,234,23,8.146067415730338,5.617977528089887,3.651685393258427,5.337078651685393,5.8988764044943816,4.775280898876404,3.089887640449438,3.3707865168539324,0.0,7.02247191011236,3.3707865168539324,25.280898876404496,11.235955056179774,7.584269662921349,5.617977528089887,17.134831460674157,9.550561797752808,34.26966292134831,65.73033707865169,6.460674157303371
2014,345,29.0,19.0,13.0,19.0,22.0,17.0,10.0,11.0,0.0,24.0,12.0,86.0,41.0,24.0,18.0,58,33,115,230,24,8.405797101449275,5.507246376811594,3.768115942028986,5.507246376811594,6.3768115942028984,4.9275362318840585,2.898550724637681,3.1884057971014492,0.0,6.956521739130435,3.4782608695652173,24.92753623188406,11.884057971014492,6.956521739130435,5.217391304347826,16.81159420289855,9.565217391304348,33.33333333333333,66.66666666666666,6.956521739130435
2015,349,29.0,19.0,12.0,19.0,22.0,17.0,11.0,11.0,0.0,24.0,12.0,88.0,41.0,26.0,18.0,58,38,123,226,27,8.30945558739255,5.444126074498568,3.4383954154727796,5.444126074498568,6.303724928366762,4.871060171919771,3.151862464183381,3.151862464183381,0.0,6.876790830945559,3.4383954154727796,25.214899713467048,11.74785100286533,7.4498567335243555,5.157593123209169,16.6189111747851,10.888252148997136,35.24355300859599,64.75644699140402,7.736389684813753
2016,346,29.0,19.0,13.0,19.0,21.0,17.0,11.0,11.0,0.0,22.0,12.0,87.0,41.0,26.0,18.0,59,38,130,216,25,8.38150289017341,5.491329479768786,3.7572254335260116,5.491329479768786,6.069364161849711,4.913294797687861,3.1791907514450863,3.1791907514450863,0.0,6.358381502890173,3.4682080924855487,25.14450867052023,11.849710982658959,7.514450867052023,5.202312138728324,17.052023121387283,10.982658959537572,37.57225433526011,62.42774566473989,7.225433526011561
2017,344,28.0,19.0,13.0,19.0,21.0,17.0,11.0,11.0,0.0,22.0,12.0,86.0,41.0,26.0,18.0,58,36,132,212,25,8.13953488372093,5.523255813953488,3.77906976744186,5.523255813953488,6.104651162790697,4.941860465116279,3.1976744186046515,3.1976744186046515,0.0,6.395348837209303,3.488372093023256,25.0,11.918604651162791,7.55813953488372,5.232558139534884,16.86046511627907,10.465116279069768,38.372093023255815,61.627906976744185,7.267441860465117
2018,345,29.0,20.0,13.0,20.0,21.0,17.0,11.0,11.0,0.0,21.0,12.0,85.0,41.0,26.0,18.0,59,36,131,214,26,8.405797101449275,5.797101449275362,3.768115942028986,5.797101449275362,6.086956521739131,4.9275362318840585,3.1884057971014492,3.1884057971014492,0.0,6.086956521739131,3.4782608695652173,24.637681159420293,11.884057971014492,7.536231884057972,5.217391304347826,17.101449275362317,10.434782608695652,37.971014492753625,62.02898550724638,7.536231884057972
2019,343,28.0,20.0,13.0,20.0,21.0,17.0,11.0,11.0,0.0,21.0,12.0,84.0,41.0,26.0,18.0,58,36,130,213,26,8.16326530612245,5.830903790087463,3.7900874635568513,5.830903790087463,6.122448979591836,4.956268221574344,3.206997084548105,3.206997084548105,0.0,6.122448979591836,3.498542274052478,24.489795918367346,11.9533527696793,7.580174927113703,5.247813411078718,16.909620991253643,10.495626822157435,37.90087463556851,62.09912536443149,7.580174927113703
2020,337,28.0,20.0,13.0,18.0,20.0,17.0,9.0,11.0,0.0,21.0,12.0,83.0,41.0,26.0,18.0,58,36,133,204,29,8.30860534124629,5.934718100890208,3.857566765578635,5.341246290801187,5.934718100890208,5.044510385756676,2.6706231454005933,3.2640949554896146,0.0,6.231454005934718,3.5608308605341246,24.629080118694365,12.166172106824925,7.71513353115727,5.341246290801187,17.210682492581604,10.682492581602373,39.46587537091988,60.534124629080125,8.605341246290802
2021,338,28.0,20.0,13.0,18.0,20.0,17.0,9.0,11.0,0.0,22.0,11.0,84.0,41.0,26.0,18.0,59,36,134,204,28,8.284023668639055,5.9171597633136095,3.8461538461538463,5.325443786982249,5.9171597633136095,5.029585798816568,2.6627218934911245,3.2544378698224854,0.0,6.508875739644971,3.2544378698224854,24.85207100591716,12.1301775147929,7.6923076923076925,5.325443786982249,17.45562130177515,10.650887573964498,39.64497041420118,60.35502958579882,8.284023668639055
2022,335,28.0,20.0,13.0,18.0,20.0,17.0,9.0,11.0,0.0,22.0,11.0,81.0,41.0,26.0,18.0,59,36,131,204,29,8.358208955223882,5.970149253731343,3.880597014925373,5.3731343283582085,5.970149253731343,5.074626865671641,2.6865671641791042,3.2835820895522385,0.0,6.567164179104477,3.2835820895522385,24.17910447761194,12.238805970149254,7.761194029850746,5.3731343283582085,17.611940298507463,10.746268656716417,39.1044776119403,60.895522388059696,8.656716417910449
2023,335,28.0,20.0,13.0,18.0,20.0,17.0,9.0,11.0,0.0,22.0,11.0,80.0,41.0,26.0,19.0,58,44,139,196,28,8.358208955223882,5.970149253731343,3.880597014925373,5.3731343283582085,5.970149253731343,5.074626865671641,2.6865671641791042,3.2835820895522385,0.0,6.567164179104477,3.2835820895522385,23.88059701492537,12.238805970149254,7.761194029850746,5.6716417910447765,17.313432835820898,13.134328358208954,41.492537313432834,58.507462686567166,8.358208955223882
